scorer,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000
bodyparts,head,head,head,body,body,body,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
41,78.6778564453125,141.49697875976562,0.9976714253425598,123.922607421875,179.33506774902344,0.9816716909408569,136.58938598632812,217.8571014404297,0.8988683223724365
42,79.98646545410156,140.41366577148438,0.9982718825340271,123.33123779296875,178.46449279785156,0.9880797863006592,134.8850860595703,217.27993774414062,0.8768845200538635
43,82.88358306884766,142.74185180664062,0.9987820386886597,123.74246215820312,182.3457794189453,0.9840335249900818,139.68055725097656,217.05026245117188,0.8505757451057434
44,80.34235382080078,146.40789794921875,0.9990111589431763,125.7725601196289,181.58152770996094,0.9889546632766724,143.6483917236328,215.97637939453125,0.8932492733001709
45,78.67042541503906,150.26980590820312,0.9979644417762756,124.70022583007812,181.1128387451172,0.9923575520515442,135.02772521972656,221.2457733154297,0.9666907787322998
46,77.36602783203125,149.08755493164062,0.9982736706733704,124.06996154785156,179.29107666015625,0.9939205646514893,129.0521697998047,220.74923706054688,0.9337584376335144
47,76.2366714477539,148.0679168701172,0.9960610270500183,121.21575927734375,181.7379150390625,0.9946852326393127,132.71255493164062,219.80934143066406,0.9666508436203003
48,76.22723388671875,148.38243103027344,0.9952762126922607,119.38602447509766,183.44479370117188,0.9932175874710083,133.55650329589844,221.14569091796875,0.9815101623535156
49,76.25602722167969,145.09104919433594,0.9958040118217468,119.73298645019531,183.08953857421875,0.9951217174530029,128.63609313964844,222.42556762695312,0.9447259902954102
50,75.43720245361328,142.99551391601562,0.9912543892860413,119.02317810058594,181.117431640625,0.9960789680480957,127.2972183227539,219.79318237304688,0.904008150100708
51,74.58545684814453,138.96026611328125,0.991396427154541,119.60173797607422,178.0983123779297,0.9966776371002197,126.91802978515625,219.89215087890625,0.9094264507293701
52,74.09490966796875,139.75267028808594,0.9915210008621216,119.0814208984375,177.1697235107422,0.9964814186096191,120.68801879882812,219.2937774658203,0.9700028896331787
53,73.86811065673828,141.15672302246094,0.9939744472503662,117.55601501464844,177.7469940185547,0.9965896606445312,111.43223571777344,220.4970245361328,0.9263587594032288
54,74.45185089111328,140.2546844482422,0.99288010597229,117.30928802490234,178.54547119140625,0.9967451691627502,108.32242584228516,219.62557983398438,0.698558509349823
55,73.12735748291016,139.7593536376953,0.9917790293693542,120.23554229736328,176.50694274902344,0.9956618547439575,139.56182861328125,218.7523193359375,0.7516805529594421
56,73.58573150634766,138.36175537109375,0.9939285516738892,120.54413604736328,175.23712158203125,0.99492347240448,139.82655334472656,217.99790954589844,0.775658130645752
57,74.59042358398438,136.72061157226562,0.9960721135139465,119.41007995605469,174.80059814453125,0.9947303533554077,139.06837463378906,217.8355712890625,0.7031455039978027
58,74.46968841552734,137.65963745117188,0.9965848326683044,118.37953186035156,172.62173461914062,0.993512749671936,120.9725112915039,218.14076232910156,0.952093243598938
59,73.04695129394531,139.42166137695312,0.9928075671195984,118.79438018798828,171.89962768554688,0.9938673973083496,132.95123291015625,218.33035278320312,0.9827798008918762
60,73.8680419921875,138.82177734375,0.9905016422271729,123.14672088623047,170.4417266845703,0.9858432412147522,137.742431640625,217.0364227294922,0.9858919382095337
61,73.31062316894531,136.7141876220703,0.9936943054199219,120.9400863647461,171.85427856445312,0.9893773794174194,140.56649780273438,215.88092041015625,0.9505387544631958
62,73.19474792480469,137.7655792236328,0.9933985471725464,119.62521362304688,170.5867919921875,0.9871454238891602,140.8785858154297,215.40267944335938,0.9490163326263428
