scorer,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000,DLC_resnet50_M9Jul27shuffle1_10000
bodyparts,head,head,head,body,body,body,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
49,298.9411315917969,121.69194030761719,0.9968395233154297,239.5083770751953,123.04768371582031,0.8548023104667664,187.3988037109375,89.97801208496094,0.3937150835990906
50,299.0826416015625,121.49209594726562,0.9969136118888855,239.58023071289062,123.05853271484375,0.8604803085327148,187.56004333496094,90.05970001220703,0.36700209975242615
51,299.01776123046875,121.41649627685547,0.9969589710235596,239.6834259033203,123.02549743652344,0.8619891405105591,187.63658142089844,90.05081176757812,0.36203187704086304
52,299.01605224609375,121.37166595458984,0.9971901178359985,239.7263641357422,122.98721313476562,0.8646761178970337,187.63624572753906,90.04061889648438,0.36165881156921387
53,299.1505432128906,121.64811706542969,0.9969782829284668,239.66307067871094,123.03379821777344,0.8660058975219727,187.62945556640625,90.04753112792969,0.3631041646003723
54,299.2788391113281,121.58303833007812,0.9970390796661377,239.7786102294922,123.06060791015625,0.8696258068084717,187.6714630126953,90.0418472290039,0.3676011860370636
55,299.2746276855469,121.57035064697266,0.9971585273742676,239.8314971923828,123.74215698242188,0.865009069442749,187.76502990722656,90.05551147460938,0.3572826385498047
56,299.2681579589844,121.59265899658203,0.9972048997879028,239.7215576171875,123.62211608886719,0.8625420331954956,187.74708557128906,90.12232208251953,0.36190569400787354
57,299.1230163574219,121.4385986328125,0.9972094893455505,239.65957641601562,123.7060546875,0.8669849634170532,187.22494506835938,89.7450942993164,0.43508100509643555
58,299.14739990234375,121.61460876464844,0.997432291507721,239.88421630859375,123.75972747802734,0.8801432847976685,187.39576721191406,90.1957015991211,0.4170868992805481
59,299.14935302734375,121.50032043457031,0.9973276853561401,239.7967071533203,123.86431884765625,0.877249002456665,187.39645385742188,90.18708801269531,0.4164307117462158
60,299.69970703125,120.98110961914062,0.997069239616394,240.57435607910156,122.39289855957031,0.8659877777099609,186.4750213623047,90.37552642822266,0.41401177644729614
61,299.73468017578125,121.02589416503906,0.9971073865890503,240.47679138183594,122.38599395751953,0.8689961433410645,186.41644287109375,90.12739562988281,0.49131694436073303
62,299.7379150390625,121.01600646972656,0.9971467852592468,240.44741821289062,122.41757202148438,0.8660578727722168,186.2724151611328,90.44754028320312,0.4553404748439789
